Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
256,sail-o-bots by sturec,ETH,"5,600.74",-100.00%,-76.23%,3.85,411,750
257,PROOF Collective,ETH,"5,541.01",null,140.64%,37.5,911,1.0K
258,Edifice by Ben Kovach,ETH,"5,509.73",null,-100.00%,1.75,600,976
259,Gray Boys,ETH,"5,414.30",-49.07%,67.08%,1.17,3.3K,10.0K
260,Incognito,ETH,"5,411.88",2090.00%,179.75%,0.04,3.2K,10.0K
261,G.rilla OFFICIAL,KLAY,"14,164,414.69",-8.78%,33.75%,1260,4.3K,10.0K
262,Lonely Alien Space Club,ETH,"5,371.21",-30.13%,37.90%,0.04,4.0K,10.0K
263,F1Â® Delta Time,ETH,"5,367",null,696.91%,< 0.01,1.8K,40.5K
264,PGFK,ETH,"5,359.93",null,null,0.05,920,12.2K
265,The Mike Tyson NFT Collection by Cory Van Lew,ETH,"5,344.70",-53.16%,58.65%,0.1,777,531
266,Realms (for Adventurers),ETH,"5,341.39",44.39%,-58.80%,1.15,424,8.0K
267,ASM Brains,ETH,"5,296.80",-32.19%,148.11%,5.24,2.6K,7.8K
268,DeadHeads,ETH,"5,256.25",156.97%,47.86%,0.16,2.9K,10.0K
269,yInsure NFT,ETH,"5,247.73",null,null,1,280,1.4K
270,0xApes Trilogy,ETH,"5,216.62",-43.98%,-16.43%,0.18,3.9K,10.0K
271,NeoTokyo Citizens,ETH,"5,183.78",-22.75%,215.09%,9.5,1.9K,2.0K
272,CryptoSpaceCommanders,ETH,"5,157.14",null,null,< 0.01,1.3K,65.3K
273,The Yakuza Cats Society,ETH,"5,142.22",-19.22%,-85.58%,0.04,2.9K,8.9K
274,Divine Anarchy,ETH,"5,034.90",58.41%,-10.12%,0.14,4.9K,10.0K
275,EllioTrades NFT Collection,ETH,"4,978.51",null,46.18%,1.8,801,1.9K
276,The Superlative Secret Society,ETH,"4,967.17",315.91%,30.62%,0.09,6.0K,11.1K
277,ZombieClub Token,ETH,"4,957.44",-40.49%,null,2.9,3.9K,6.7K
278,Monkey Bet DAO,ETH,"4,955.03",-60.98%,-17.10%,0.02,4.0K,10.0K
279,Gutter Dogs,ETH,"4,951.91",-66.60%,114.06%,2.59,2.0K,2.9K
280,REMIX! Club,ETH,"4,919.72",312.06%,41.32%,0.05,2.6K,5.6K
281,Wolf Game - Genesis Land,ETH,"4,913.10",-25.93%,87.60%,0.37,5.2K,20.0K
282,SYLTARE-OFFICIAL,KLAY,"12,893,705.88",null,106.96%,2995,2.4K,9.6K
283,Party Degenerates,ETH,"4,896.35",-91.53%,-34.40%,0.17,3.6K,10.0K
284,Avid Lines,ETH,"4,890.55",null,300.00%,2,262,500
285,Prime Kong Planet by PAP,ETH,"4,878.04",41.90%,7.45%,0.08,5.5K,9.7K
286,BullsOnTheBlock,ETH,"4,849.93",-20.92%,44.86%,0.07,1.6K,10.0K
287,LinksDAO,ETH,"4,845.69",-2.39%,87.85%,0.47,5.3K,9.1K
288,Farm Land by Pixels,ETH,"4,845.46",72.33%,-14.16%,0.6,2.4K,5.0K
289,EtherOrcs Genesis,ETH,"4,828.46",-15.84%,0.80%,2.1,69,5.0K
290,Rinascita by Stefano Contiero,ETH,"4,814.62",null,-14.37%,0.72,745,1.1K
291,Jenkins the Valet: The Writer's Room,ETH,"4,803.21",-64.67%,126.49%,1.78,3.2K,6.9K
292,Meme Ltd.,ETH,"4,770.79",149.59%,677.74%,< 0.01,8.3K,522
